timestamp,call_chain,duration_s
2026-09-22T16:53:17.747681,purge_collision_scene,0.3556
2026-09-22T16:53:18.193000,add_ground_plane,0.0225
2026-09-22T16:53:31.780406,add_printer_collision_boxes > add_ground_plane,0.2473
2026-09-22T16:53:34.969966,add_printer_collision_boxes,3.4453
2026-09-22T16:53:46.095468,add_printer_collision_boxes,10.2845
2026-09-22T16:53:47.765742,scrapePlate > pickupPlate > moveToMarker > _scan_with_retries > scanToMarker,1.6596
2026-09-22T16:53:47.765808,scrapePlate > pickupPlate > moveToMarker > _scan_with_retries,1.6597
2026-09-22T16:53:49.724198,scrapePlate > pickupPlate > moveToMarker > _scan_with_retries > scanToMarker,1.9583
2026-09-22T16:53:49.724266,scrapePlate > pickupPlate > moveToMarker > _scan_with_retries,1.9584
2026-09-22T16:53:53.798473,scrapePlate > pickupPlate > moveToMarker > set_entry_zone_collisions,2.0643
2026-09-22T16:54:16.405923,scrapePlate > pickupPlate > moveToMarker > set_entry_zone_collisions,12.2652
2026-09-22T16:54:16.406438,scrapePlate > pickupPlate > moveToMarker,30.3009
2026-09-22T16:54:16.406456,scrapePlate > pickupPlate,30.3009
2026-09-22T16:55:18.837864,scrapePlate > placePlate > set_entry_zone_collisions,2.3402
2026-09-22T16:55:32.329431,scrapePlate > placePlate > set_entry_zone_collisions,2.5815
2026-09-22T16:55:32.329524,scrapePlate > placePlate,35.5459
2026-09-22T16:55:32.330095,scrapePlate,105.2992
